author_openalex_id,topic,period_a_from,period_a_to,period_b_from,period_b_to,pubs_a,pubs_b,cites_a,cites_b,label
A5000014228,Advanced Photocatalysis Techniques,1970,2014,2015,2026,0,1,0,17,Emerging
A5000014228,Quantum Dots Synthesis And Properties,1970,2014,2015,2026,0,1,0,17,Emerging
A5000014228,TiO2 Photocatalysis and Solar Cells,1970,2014,2015,2026,0,1,0,17,Emerging
A5000022064,Blood groups and transfusion,1970,2014,2015,2026,0,1,0,0,Emerging
A5000022064,Hemoglobinopathies and Related Disorders,1970,2014,2015,2026,0,1,0,0,Emerging
A5000022064,Iron Metabolism and Disorders,1970,2014,2015,2026,0,1,0,0,Emerging
A5000031151,Drilling and Well Engineering,1970,2014,2015,2026,1,0,1,0,Declining
A5000031151,Geoscience and Mining Technology,1970,2014,2015,2026,1,0,61,0,Declining
A5000031151,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,2,0,62,0,Declining
A5000031151,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,2,0,75,0,Declining
A5000031151,Oil and Gas Production Techniques,1970,2014,2015,2026,1,0,14,0,Declining
A5000031151,Reservoir Engineering and Simulation Methods,1970,2014,2015,2026,2,0,15,0,Declining
A5000031382,Coal Properties and Utilization,1970,2014,2015,2026,0,2,0,247,Emerging
A5000031382,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,2,0,247,Emerging
A5000031382,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,2,0,247,Emerging
A5000034016,Drilling and Well Engineering,1970,2014,2015,2026,0,1,0,1,Emerging
A5000034016,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,2,0,15,Emerging
A5000034016,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,0,Emerging
A5000034016,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,2,0,4,Emerging
A5000034016,Lattice Boltzmann Simulation Studies,1970,2014,2015,2026,0,1,0,11,Emerging
A5000034016,NMR spectroscopy and applications,1970,2014,2015,2026,0,2,0,11,Emerging
