topic,year,pubs,cites
2D Materials and Applications,2017,2,938
2D Materials and Applications,2019,2,319
2D Materials and Applications,2022,2,56
2D Materials and Applications,2023,2,7
2D Materials and Applications,2024,1,1
2D Materials and Applications,2025,6,1
2D Materials and Applications,2026,2,0
3D IC and TSV technologies,2024,1,1
3D IC and TSV technologies,2025,1,2
3D Modeling in Geospatial Applications,2011,1,0
3D Modeling in Geospatial Applications,2020,1,0
3D Modeling in Geospatial Applications,2021,1,2
3D Modeling in Geospatial Applications,2023,2,4
3D Shape Modeling and Analysis,2022,1,0
3D Shape Modeling and Analysis,2024,1,0
3D Surveying and Cultural Heritage,2000,1,0
3D Surveying and Cultural Heritage,2010,1,0
3D Surveying and Cultural Heritage,2013,1,0
3D Surveying and Cultural Heritage,2015,1,0
3D Surveying and Cultural Heritage,2017,2,3
3D Surveying and Cultural Heritage,2020,1,3
3D Surveying and Cultural Heritage,2023,3,22
Abdominal Surgery and Complications,2011,1,12
Academic Publishing and Open Access,2024,1,6
Accounting and Organizational Management,2003,1,0
Accounting and Organizational Management,2010,1,0
Accounting and Organizational Management,2011,1,1
Acoustic Wave Phenomena Research,2024,1,0
Acoustic Wave Resonator Technologies,2011,1,1
Acoustic Wave Resonator Technologies,2014,1,0
Acoustic Wave Resonator Technologies,2018,2,0
Acoustic Wave Resonator Technologies,2023,2,0
Acoustic Wave Resonator Technologies,2024,1,2
Acute Myocardial Infarction Research,2020,1,7
Additive Manufacturing and 3D Printing Technologies,2006,1,1
Additive Manufacturing and 3D Printing Technologies,2014,1,10
Additive Manufacturing and 3D Printing Technologies,2020,1,63
Additive Manufacturing and 3D Printing Technologies,2025,2,9
Additive Manufacturing Materials and Processes,2024,3,3
"Adhesion, Friction, and Surface Interactions",2003,1,0
"Adhesion, Friction, and Surface Interactions",2011,1,50
"Adhesion, Friction, and Surface Interactions",2013,1,1
"Adhesion, Friction, and Surface Interactions",2014,4,2
"Adhesion, Friction, and Surface Interactions",2015,3,70
"Adhesion, Friction, and Surface Interactions",2016,1,16
"Adhesion, Friction, and Surface Interactions",2017,2,53
"Adhesion, Friction, and Surface Interactions",2018,1,0
"Adhesion, Friction, and Surface Interactions",2020,1,25
Adsorption and biosorption for pollutant removal,2000,1,2
Adsorption and biosorption for pollutant removal,2010,1,91
Adsorption and biosorption for pollutant removal,2014,1,34
Adsorption and biosorption for pollutant removal,2016,3,80
Adsorption and biosorption for pollutant removal,2017,4,228
Adsorption and biosorption for pollutant removal,2018,4,42
Adsorption and biosorption for pollutant removal,2019,2,131
Adsorption and biosorption for pollutant removal,2020,4,88
Adsorption and biosorption for pollutant removal,2021,5,200
Adsorption and biosorption for pollutant removal,2022,5,72
Adsorption and biosorption for pollutant removal,2023,1,1
Adsorption and biosorption for pollutant removal,2024,5,22
Adsorption and biosorption for pollutant removal,2025,2,9
Adsorption and biosorption for pollutant removal,2026,1,0
Adsorption and Cooling Systems,2009,1,24
Adsorption and Cooling Systems,2010,1,59
Adsorption and Cooling Systems,2011,1,4
"Adsorption, diffusion, and thermodynamic properties of materials",1995,1,6
"Adsorption, diffusion, and thermodynamic properties of materials",2020,1,0
Advanced Antenna and Metasurface Technologies,2021,1,1
Advanced battery technologies research,2010,1,17
Advanced battery technologies research,2016,1,610
Advanced battery technologies research,2018,1,64
Advanced battery technologies research,2019,1,48
Advanced battery technologies research,2020,1,54
